epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,932.716,0.50117,0.86498,0.51598,1.05527,0.74305,0.69164,0.69013,0.495,0.77304,0.70642,0.70323,0.49455,1.03011,2.06895,1.2692,1.42843,0.000749939,0.000749939,0.000749939
74,945.841,0.50476,0.78804,0.51515,1.05145,0.6583,0.6847,0.65638,0.46256,0.67043,0.6847,0.6602,0.4588,1.00008,2.06558,1.32815,1.3771,0.000740508,0.000740508,0.000740508
75,959.809,0.51293,0.84735,0.52303,1.03953,0.52065,0.64351,0.5752,0.39906,0.55945,0.64555,0.59369,0.38602,0.99766,2.24096,1.43756,1.3845,0.000731076,0.000731076,0.000731076
76,972.481,0.48401,0.81739,0.50124,1.04028,0.54694,0.5421,0.61236,0.45276,0.64681,0.54532,0.62162,0.43626,0.982,1.78208,1.34373,1.40384,0.000721645,0.000721645,0.000721645
77,986.003,0.50247,0.77052,0.49111,1.04834,0.47568,0.50851,0.55657,0.39571,0.57213,0.53871,0.57118,0.40953,1.00139,1.76617,1.4446,1.40542,0.000712214,0.000712214,0.000712214
78,999.098,0.4965,0.81064,0.49826,1.03167,0.66978,0.68597,0.68008,0.45894,0.67802,0.70711,0.69443,0.4945,1.02623,1.98633,1.23178,1.42388,0.000702782,0.000702782,0.000702782
79,1010.54,0.50118,0.79126,0.50655,1.04238,0.72395,0.70699,0.7127,0.49025,0.74182,0.71347,0.73693,0.51777,1.02322,1.97896,1.15616,1.48782,0.000693351,0.000693351,0.000693351
80,1023.49,0.49537,0.79769,0.4932,1.03962,0.73833,0.64362,0.71025,0.50856,0.77559,0.65704,0.71364,0.50291,0.97887,1.9086,1.1987,1.42847,0.000683919,0.000683919,0.000683919
81,1037.71,0.49383,0.85816,0.49759,1.03919,0.79155,0.54511,0.61443,0.44436,0.72231,0.60993,0.62822,0.44663,1.00587,1.79322,1.37037,1.44217,0.000674488,0.000674488,0.000674488
82,1050.33,0.52697,0.86208,0.52995,1.06326,0.69821,0.54188,0.61847,0.44717,0.7889,0.55901,0.63688,0.4606,0.99203,1.90627,1.32413,1.41049,0.000665057,0.000665057,0.000665057
83,1063.89,0.50533,0.80365,0.50832,1.04906,0.71448,0.56554,0.65958,0.48414,0.72525,0.57592,0.66133,0.4977,1.01598,1.80278,1.27255,1.39848,0.000655625,0.000655625,0.000655625
84,1076.54,0.4935,0.77133,0.48054,1.03501,0.7281,0.69401,0.68861,0.49319,0.74354,0.68241,0.68543,0.49922,0.9872,1.97781,1.22996,1.40463,0.000646194,0.000646194,0.000646194
85,1088.08,0.49971,0.7755,0.48844,1.04644,0.66713,0.69238,0.69732,0.5124,0.74115,0.62035,0.69328,0.52674,0.98937,1.88024,1.22191,1.43436,0.000636762,0.000636762,0.000636762
86,1101.01,0.49185,0.82209,0.48164,1.03464,0.65005,0.61127,0.69313,0.50407,0.69058,0.57306,0.68808,0.50948,0.96529,1.87487,1.27933,1.41321,0.000627331,0.000627331,0.000627331
87,1115.57,0.48157,0.77677,0.48962,1.03154,0.78211,0.58554,0.68563,0.50505,0.79153,0.58304,0.69238,0.51372,0.92977,1.80589,1.24667,1.39273,0.0006179,0.0006179,0.0006179
88,1128.43,0.49073,0.72035,0.4665,1.03035,0.70219,0.70341,0.69961,0.51185,0.7252,0.71416,0.71329,0.52217,0.92277,1.81331,1.21821,1.37413,0.000608468,0.000608468,0.000608468
89,1142.01,0.4728,0.70474,0.46737,1.0279,0.76463,0.55965,0.66,0.4727,0.72729,0.60109,0.6682,0.47801,0.99526,1.96202,1.30019,1.44211,0.000599037,0.000599037,0.000599037
90,1154.16,0.4597,0.69637,0.43531,1.02451,0.73778,0.57992,0.64636,0.46105,0.7003,0.60073,0.64504,0.46268,0.94309,1.90367,1.29052,1.36088,0.000589605,0.000589605,0.000589605
91,1167.38,0.4643,0.73174,0.45426,1.01215,0.66439,0.66833,0.69575,0.50304,0.63398,0.66502,0.67723,0.49509,0.95035,1.95974,1.23181,1.36513,0.000580174,0.000580174,0.000580174
92,1179.89,0.47979,0.71789,0.46549,1.03183,0.734,0.64833,0.71239,0.51211,0.734,0.64833,0.71422,0.52084,0.9273,1.78733,1.11429,1.34592,0.000570743,0.000570743,0.000570743
93,1192.73,0.45319,0.66256,0.42367,1.0069,0.70786,0.68749,0.71989,0.53105,0.75077,0.65013,0.72884,0.54091,0.94994,1.73638,1.12236,1.36687,0.000561311,0.000561311,0.000561311
94,1204.36,0.46514,0.7368,0.46543,1.02083,0.71339,0.74337,0.71886,0.5124,0.77763,0.69738,0.74426,0.52896,0.98278,1.68675,1.13569,1.38398,0.00055188,0.00055188,0.00055188
95,1217.43,0.46142,0.77501,0.46439,1.00952,0.70569,0.67075,0.70697,0.50438,0.73197,0.6916,0.73949,0.53588,0.98389,1.70962,1.20195,1.3922,0.000542448,0.000542448,0.000542448
96,1229.55,0.46404,0.71468,0.45299,1.02667,0.595,0.63903,0.64482,0.47626,0.61752,0.64089,0.65388,0.4888,0.96848,1.76656,1.36235,1.39878,0.000533017,0.000533017,0.000533017
97,1241.99,0.44599,0.69174,0.43348,0.98635,0.69747,0.56656,0.61554,0.46463,0.76491,0.52394,0.62265,0.47324,0.92015,1.75204,1.39372,1.35295,0.000523586,0.000523586,0.000523586
98,1255.4,0.47242,0.6684,0.45713,1.03121,0.75681,0.50807,0.54708,0.41365,0.76794,0.51655,0.57922,0.41787,0.91907,1.79754,1.45653,1.35141,0.000514154,0.000514154,0.000514154
99,1268.5,0.46435,0.70795,0.4406,1.00619,0.68939,0.66284,0.73184,0.51835,0.69278,0.68098,0.73309,0.54603,0.97555,1.65234,1.22129,1.40456,0.000504723,0.000504723,0.000504723
100,1280.26,0.45511,0.6839,0.42832,1.01732,0.69479,0.69554,0.71817,0.51744,0.77439,0.63941,0.71689,0.54027,0.98329,1.71332,1.23183,1.41378,0.000495291,0.000495291,0.000495291
101,1292.22,0.45858,0.69993,0.44591,1.01776,0.72624,0.57599,0.65768,0.49043,0.72787,0.57805,0.65144,0.49107,0.93342,1.79738,1.31346,1.38356,0.00048586,0.00048586,0.00048586
102,1304.76,0.44616,0.66496,0.42561,1.00943,0.79745,0.4612,0.60938,0.45687,0.77948,0.4591,0.59745,0.43508,0.91889,1.96076,1.33417,1.35835,0.000476429,0.000476429,0.000476429
103,1317.23,0.44697,0.63926,0.42379,1.00336,0.70759,0.55273,0.67583,0.47283,0.64806,0.52711,0.64235,0.47131,0.97302,1.83641,1.26068,1.41024,0.000466997,0.000466997,0.000466997
104,1329.7,0.43523,0.70258,0.42458,1.00674,0.73982,0.7229,0.7437,0.522,0.7345,0.67344,0.70835,0.5254,0.95379,1.75076,1.11775,1.34521,0.000457566,0.000457566,0.000457566
105,1342.81,0.44346,0.66669,0.43783,1.00845,0.74634,0.68728,0.74054,0.53163,0.73193,0.6641,0.71648,0.53575,0.94702,1.84387,1.16371,1.33885,0.000448134,0.000448134,0.000448134
106,1354.41,0.42709,0.62108,0.42125,0.99586,0.71921,0.65306,0.71051,0.51887,0.71387,0.64567,0.70103,0.52438,0.9478,1.8264,1.23901,1.37321,0.000438703,0.000438703,0.000438703
107,1366.71,0.43445,0.60676,0.41449,0.99276,0.67319,0.65327,0.68814,0.51654,0.67641,0.65821,0.6823,0.52081,0.93495,1.8318,1.24506,1.3489,0.000429272,0.000429272,0.000429272
108,1379.04,0.44076,0.66684,0.42975,1.00297,0.71953,0.66479,0.68877,0.51903,0.72574,0.66009,0.69324,0.51576,0.94058,1.69084,1.23022,1.3479,0.00041984,0.00041984,0.00041984
109,1391.29,0.42785,0.6505,0.413,1.00236,0.74303,0.62221,0.68467,0.51005,0.77741,0.61556,0.68799,0.51902,0.92664,1.7959,1.18141,1.35749,0.000410409,0.000410409,0.000410409
110,1403.44,0.42159,0.62659,0.4007,0.99842,0.68465,0.68546,0.68764,0.50943,0.6809,0.67853,0.68731,0.51702,0.90442,1.81542,1.20728,1.33015,0.000400977,0.000400977,0.000400977
